F990_TOTAL_ASSETS_RECENT,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,ORG_NAME_CURRENT,Total_Assets
859.758,CT,Northwest Hills Planning Region,SALISBURY WINTER SPORTS ASSOC INC,0.859758
559.164,CT,Capitol Planning Region,JUNIOR LEAGUE OF HARTFORD INCORPORATED,0.559164
8097.787,CT,Greater Bridgeport Planning Region,PEQUOT LIBRARY ASSOCIATION,8.097787
26449.784,CT,Western Connecticut Planning Region,WESTPORT LIBRARY ASSOC,26.449784
50.276,CT,Southeastern Connecticut Planning Region,WINDHAM COMMUNITY MEMORIAL HOSPITAL INC WOMENS AUX,0.050276
834.009,CT,Western Connecticut Planning Region,WOMANS CLUB OF GREENWICH INC,0.834009
16236.418,CT,Capitol Planning Region,THE MARK TWAIN MEMORIAL,16.236418
417.467,CT,Southeastern Connecticut Planning Region,CRAGIN MEMORIAL LIBRARY,0.417467
2751.272,CT,Western Connecticut Planning Region,RIDGEFIELD VETERANS MEMORIAL COMMUNITY ASSOCIATION INC,2.751272
685.559,MT,Carbon County,YELLOWSTONE BIGHORN RESEARCH ASSOC INC,0.685559
14787.744,CT,Capitol Planning Region,NATIONAL SOCIETY OF COLONIAL DAMES OF AMERICA CT STATE,14.787744
796.469,CT,South Central Connecticut Planning Region,EAST HAVEN PUBLIC LIBRARY INC,0.796469
10482.929,CT,South Central Connecticut Planning Region,COUNTRY SCHOOL INCORPORATED,10.482929
3359.265,CT,Southeastern Connecticut Planning Region,WATERFORD PUBLIC LIBRARY INC,3.359265
9286.921,CT,Capitol Planning Region,HARC INC,9.286921
1243.64,CT,Capitol Planning Region,WINDSOR LOCKS PUBLIC LIBRARY INC,1.24364
396.642,CT,Capitol Planning Region,WEST HARTFORD ART LEAGUE INC,0.396642
346.906,CT,Western Connecticut Planning Region,DANBURY MUSIC CENTRE INC,0.346906
461.096,CT,Lower Connecticut River Valley Planning Region,CONNECTICUT RIVER COASTAL CONSERVATION DISTRICT INC,0.461096
1210.814,CT,Northwest Hills Planning Region,NORFOLK CURLING CLUB INC,1.210814
5863.639,CT,Capitol Planning Region,COMMUNITY CHILD GUIDANCE CLINIC INC,5.863639
8386.83,CT,South Central Connecticut Planning Region,ST THOMAS DAY SCHOOL,8.38683
506.505,CT,Capitol Planning Region,LUTZ CHILDRENS MUSEUM,0.506505
2422.15,CT,Western Connecticut Planning Region,DARIEN COMMUNITY ASSOCIATION INC,2.42215
0,CT,South Central Connecticut Planning Region,LORRAINE D FOSTER DAY SCHOOL INC,0
2265.282,CT,Capitol Planning Region,THE CONNECTICUT ASSOCIATION OF BOARDS OF EDUCATION INCORPORATED,2.265282
533.51,CT,Capitol Planning Region,WORLD AFFAIRS COUNCIL OF CONNECTICUT INC,0.53351
15269.073,CT,Southeastern Connecticut Planning Region,EAST LYME PUBLIC LIBRARY INC,15.269073
5862.191,CT,Western Connecticut Planning Region,MARK TWAIN LIBRARY ASSN INC,5.862191
13785.905,CT,Capitol Planning Region,THE ANTIQUARIAN & LANDMARKS SOCIETY INC,13.785905
5089.23,CT,Southeastern Connecticut Planning Region,UNITED CEREBRAL PALSY ASSOCIATION OF EASTERN CONNECTICUT INC,5.08923
35.896,CT,Capitol Planning Region,PINE GROVE NURSERY SCHOOL,0.035896
13263.52,CT,Southeastern Connecticut Planning Region,THAMES VALLEY COUNCIL FOR COMMUNITY ACTION INC,13.26352
6641.51,CT,Western Connecticut Planning Region,GRUMMAN HILL MONTESSORI ASSOCIATION,6.64151
91.099,CT,Western Connecticut Planning Region,RIDGEFIELD COMMUNITY KINDERGARTEN INC,0.091099
96313.464,CT,Capitol Planning Region,CONNECTICUT STUDENT LOAN FOUNDTION,96.313464
16480.227,CT,South Central Connecticut Planning Region,FOUNDATION SCHOOL INCORPORATED,16.480227
13533.661,CT,Naugatuck Valley Planning Region,TEAM INC,13.533661
11.001,CT,Lower Connecticut River Valley Planning Region,KILLINGWORTH NURSERY SCHOOL ASSOCIATION,0.011001
2762.066,CT,South Central Connecticut Planning Region,NEW CANAAN NEIGHBORHOODS INC,2.762066
3840.853,PA,York County,HANOVER PUBLIC LIBRARY ASSOCIATION INC,3.840853
357.435,CT,South Central Connecticut Planning Region,BRANFORD ROTARY FOUNDATION INC,0.357435
524.786,CT,Capitol Planning Region,SAXTON B LITTLE FREE LIBRARY INC,0.524786
5960.469,CT,Western Connecticut Planning Region,NEWTOWN MONTESSORI SOCIETY INC,5.960469
819.627,CT,Capitol Planning Region,TOLLAND HISTORICAL SOCIETY INCORPORATED,0.819627
3030.106,CT,Capitol Planning Region,TOLLAND COUNTY MUTUAL AID FIRE SERVICE INC,3.030106
277.827,CT,Western Connecticut Planning Region,FIRST UNITED METHODIST CHURCH NURSERY SCHOOL,0.277827
304.413,CT,Capitol Planning Region,HANS CHRISTIAN ANDERSEN MONTESSORI SCHOOL INC,0.304413
235.304,CT,Western Connecticut Planning Region,NORWALK SYMPHONY SOCIETY,0.235304
1076.241,CT,Capitol Planning Region,HOCKANUM VALLEY COMMUNITY COUNCIL INC,1.076241
941.845,CT,Capitol Planning Region,MANSFIELD DISCOVERY DEPOT,0.941845
626.415,CT,South Central Connecticut Planning Region,CALVIN HILL DAY CARE CENTER INC,0.626415
282.884,CT,Capitol Planning Region,COMMUNITY CHILDRENS CENTER,0.282884
1904.859,CT,South Central Connecticut Planning Region,CONNECTICUT ASSOCIATION FOR HOME CARE AND HOSPICE INC,1.904859
15488.745,CT,South Central Connecticut Planning Region,DAVENPORT RESIDENCE INC,15.488745
242.546,CT,Southeastern Connecticut Planning Region,THE CENTER A DROP-IN COMMUNITY LEARNING & RESOURCE CENTER INC,0.242546
1004.664,CT,Northwest Hills Planning Region,NORTHWEST CONSERVATION DISTRICT INC,1.004664
30576.183,CT,South Central Connecticut Planning Region,NEW HAVEN JEWISH COMMUNITY COUNCIL HOUSING CORPORATION,30.576183
2793.345,CT,Western Connecticut Planning Region,LEARNING COMMUNITY INC,2.793345
16328.16,CT,Western Connecticut Planning Region,FELLOWSHIP OF CHRISTIANS IN UNIVERSITIES AND SCHOOLS INC,16.32816
13813.064,CT,Capitol Planning Region,FRIENDSHIP SERVICE CENTER INC,13.813064
504.206,CT,South Central Connecticut Planning Region,EDGERTON PARK CONSERVANCY INC,0.504206
190.41,CT,Capitol Planning Region,HARTFORD CHORALE INC,0.19041
501.807,CT,Capitol Planning Region,WILLINGTON HILL FIRE DEPARTMENT INC,0.501807
1028.159,CT,South Central Connecticut Planning Region,YALE DAILY NEWS PUBLISHING COMPANY INC,1.028159
513.934,CT,Capitol Planning Region,KNIGHT HALL SCHOOL AND CHILD CARE CENTER INC,0.513934
495.825,CT,South Central Connecticut Planning Region,SOUTHWEST CONSERVATION DISTRICT INC,0.495825
1395.636,CT,South Central Connecticut Planning Region,WALLINGFORD COMMITTEE ON AGING INC,1.395636
298.9,CT,Northwest Hills Planning Region,CANAAN CHILD CARE CENTER INC,0.2989
1072.043,CT,Greater Bridgeport Planning Region,FIRST ECCLESIASTICAL SOCIETY OF STRATFORD INC,1.072043
133.717,CT,Naugatuck Valley Planning Region,HUMAN RESOURCE DEVELOPMENT AGENCY INC,0.133717
1812,CT,Northeastern Connecticut Planning Region,QUEBEC SQUARE HOUSING INC,1.812
1225.565,CT,Capitol Planning Region,NEWINGTON ELEMENTARY CHILDRENS CENTER INC,1.225565
4716.198,CT,South Central Connecticut Planning Region,FELLOWSHIP PLACE INC,4.716198
6187.048,CT,Capitol Planning Region,SUFFIELD VOLUNTEER AMBULANCE ASSOCIATION INC,6.187048
380.544,CT,Lower Connecticut River Valley Planning Region,EAST HADDAM AMBULANCE ASSOCIATION INC,0.380544
15646.464,CT,Capitol Planning Region,SIMSBURY LAND TRUST INC,15.646464
4150.351,CT,Capitol Planning Region,HARTFORD INTERVAL HOUSE INC,4.150351
1088.517,CT,Western Connecticut Planning Region,NORWALK HOUSING FOUNDATION INC,1.088517
178.172,CT,Northeastern Connecticut Planning Region,OPERA NEW ENGLAND OF NORTHEASTERN CONN INC,0.178172
5551.87,CT,Capitol Planning Region,COBB SCHOOL MONTESSORI,5.55187
815.437,CT,Lower Connecticut River Valley Planning Region,ESSEX AMBULANCE ASSOCIATION INC,0.815437
4021.251,CT,South Central Connecticut Planning Region,Y D N FOUNDATION INC,4.021251
364.04,CT,South Central Connecticut Planning Region,LITERACY VOLUNTEERS OF GREATER NEW HAVEN INC,0.36404
3643.764,CT,Capitol Planning Region,NEW BRITAIN EMERGENCY MEDICAL SERVICES INCORPORATED,3.643764
25768.61,CT,Western Connecticut Planning Region,NEW CANAAN COMMUNITY FOUNDATION INC,25.76861
967.503,CT,Lower Connecticut River Valley Planning Region,ESSEX FIRE ENGINE CO 1 SPECIAL ACCT,0.967503
103.28,CT,Capitol Planning Region,WHITING LANE EXTENDED DAY CARE INC,0.10328
911.158,CT,Naugatuck Valley Planning Region,BETHLEHEM AMBULANCE ASSOCIATION INC,0.911158
981.325,CT,Lower Connecticut River Valley Planning Region,HARVARD CLUB OF SOUTHERN CONN,0.981325
6901.118,CT,Western Connecticut Planning Region,THE CENTER FOR EMPOWERMENT AND EDUCATION INC,6.901118
176.628,CT,Western Connecticut Planning Region,PTSA CONNECTICUT INC,0.176628
6232.567,CT,South Central Connecticut Planning Region,MANSFIELD RETIREMENT COMMUNITY INC,6.232567
1507.047,CT,Western Connecticut Planning Region,BYRAM ARCHIBALD NEIGHBORHOOD CENTER TRUST INC,1.507047
31.702,CT,South Central Connecticut Planning Region,NEW HAVEN ROADRACE INC,0.031702
1266.839,CT,Capitol Planning Region,CONNECTICUT RADIO INFORMATION SYSTEM INC,1.266839
545.509,CT,Southeastern Connecticut Planning Region,OAKDALE VOLUNTEER FIRE COMPANY INC,0.545509
1235.202,CT,Lower Connecticut River Valley Planning Region,MIDDLESEX COMMUNITY COLLEGE FOUNDATION INCORPORATED,1.235202
61.521,CT,Western Connecticut Planning Region,PTSA CONNECTICUT INC,0.061521
198.494,CT,Western Connecticut Planning Region,PTSA CONNECTICUT INC,0.198494
4260.635,CT,Northwest Hills Planning Region,SHARON FIRE DEPARTMENT INC,4.260635
3723.672,CT,Capitol Planning Region,CT COMMUNITY NONPROFIT ALLIANCE INC,3.723672
409.797,CT,Capitol Planning Region,WEST HARTFORD EXTENDED EXPERIENCE II,0.409797
8609.39,CT,Capitol Planning Region,NEIGHBORHOOD HOUSING SERVICE OF NEW BRITAIN INC,8.60939
18958.038,CT,Capitol Planning Region,CORPORATION FOR INDEPENDENT LIVING,18.958038
978.085,CT,Lower Connecticut River Valley Planning Region,OLD SAYBROOK FIRE COMPANY NO 1 INC,0.978085
149.743,CT,South Central Connecticut Planning Region,WALLINGFORD SYMPHONY SOCIETY INC,0.149743
7587.398,CT,Western Connecticut Planning Region,PERROT MEMORIAL LIBRARY ASSOCIATION OF OLD GREENWICH INCORPORATED,7.587398
6587.13,CT,Naugatuck Valley Planning Region,WELLSPRING FOUNDATION INC,6.58713
1022.753,CT,Capitol Planning Region,GLASTONBURY VOLUNTEER AMBULANCE ASSOCIATION INC,1.022753
1.35,CT,Western Connecticut Planning Region,WORLD AFFAIRS FORUM INC,0.00135
534.246,CT,Southeastern Connecticut Planning Region,THAMES VALLEY MUSIC SCHOOL,0.534246
15051.919,CT,Naugatuck Valley Planning Region,CONNECTICUT COMMUNITY CARE INC,15.051919
401.209,CT,South Central Connecticut Planning Region,SHORELINE ARTS ALLIANCE INC,0.401209
2105.054,CT,Western Connecticut Planning Region,ABC IN DARIEN INC,2.105054
1474.489,CT,Western Connecticut Planning Region,THE CHILDRENS COMMUNITY DEVELOPMENT CENTER INC,1.474489
856.376,CT,Western Connecticut Planning Region,SHERMAN VOLUNTEER FIRE DEPT,0.856376
49.766,CT,South Central Connecticut Planning Region,CONNECTICUT CERTIFICATION BOARD INC,0.049766
346.359,CT,South Central Connecticut Planning Region,THE GUILFORD PRESERVATION ALLIANCE INC,0.346359
601.495,CT,Southeastern Connecticut Planning Region,SEXUAL ASSAULT CRISIS CENTER OF EASTERN CONNECTICUT INC,0.601495
5049.457,NY,Dutchess County,UNITED WAY OF THE DUTCHESS-ORANGE REGION INC,5.049457
742.811,TX,Travis County,AMERICAN FRIENDS OF ASIAN RURAL INSTITUTE INC,0.742811
154.214,CT,Greater Bridgeport Planning Region,TRUMBULL HIGH SCHOOL GOLDEN EAGLE MARCHING BAND CORPORATION,0.154214
1053.575,CT,Lower Connecticut River Valley Planning Region,LIBRARIES ONLINE INCORPORATED,1.053575
55781.082,CT,South Central Connecticut Planning Region,CONNECTICUT FOODSHARE INC,55.781082
322.145,CT,Capitol Planning Region,ENFIELD ROTARY MEMORIAL SCHOLARSHIP FOUNDATION INC,0.322145
397.594,CT,Capitol Planning Region,BRAIN INJURY ALLIANCE OF CONNECTICUT INC,0.397594
209.167,CT,Naugatuck Valley Planning Region,GREATER WATERBURY CHAMBER OF COMMERCE FOUNDATION INC,0.209167
11482.135,CT,Naugatuck Valley Planning Region,WOODHALL SCHOOL INC,11.482135
504.972,CT,Capitol Planning Region,FATHER NADOLNY GOOD NEWS FUND INC,0.504972
3891.325,CT,Western Connecticut Planning Region,NEWTOWN YOUTH AND FAMILY SERVICES INC,3.891325
230.766,CT,Northwest Hills Planning Region,LITCHFIELD PERFORMING ARTS INC,0.230766
80.316,CT,Greater Bridgeport Planning Region,TRUMBULL PISCES SWIMMING ASSOCIATION INC,0.080316
258439.176,CT,Western Connecticut Planning Region,FAIRFIELD COUNTYS COMMUNITY FOUNDATION INC,258.439176
9040.504,CT,Capitol Planning Region,AHEPA 58 INC,9.040504
561.851,CT,Southeastern Connecticut Planning Region,COVENANT SHELTER OF NEW LONDON INC,0.561851
29087.246,CT,Western Connecticut Planning Region,WESTERN CONNECTICUT STATE UNIVERSITY FOUNDATION INC,29.087246
284.118,CT,Western Connecticut Planning Region,PTSA CONNECTICUT INC,0.284118
93.879,CT,Western Connecticut Planning Region,EAST SCHOOL PARENT-TEACHER COUNCIL C/O EAST SCHOOL,0.093879
128.171,CT,Western Connecticut Planning Region,LVA SCHOOL INCORPORATED,0.128171
63.842,CT,Northwest Hills Planning Region,SUNDOWN SKI PATROL INC,0.063842
56.807,CT,Northwest Hills Planning Region,INDIAN LAKE ASSOCIATION OF CT & NY,0.056807
1595.57,CT,Southeastern Connecticut Planning Region,PAWCATUCK NEIGHBORHOOD CENTER INC,1.59557
187.839,CT,Capitol Planning Region,HOPMEADOW NURSERY SCHOOL INC,0.187839
1780.334,CT,Southeastern Connecticut Planning Region,WATERFORD AMBULANCE SERVICE INC,1.780334
451.465,CA,San Mateo County,FOUNDATION FOR SHAMANIC STUDIES INC,0.451465
3019.542,CT,Naugatuck Valley Planning Region,BIBLIOMATION INC,3.019542
155.354,CT,Northwest Hills Planning Region,HARWINTON WEST SIDE VOL FIRE DEPT,0.155354
266.96,CT,Capitol Planning Region,MANSFIELD TRAINING SCHOOL DISTRICT,0.26696
569.377,CT,South Central Connecticut Planning Region,GUILFORD INTERFAITH MINISTRIES INC,0.569377
176.489,CT,South Central Connecticut Planning Region,FOUNDATION OF THE GREATER NEW HAVEN CHAMBER OF COMMERCE INC,0.176489
593.57,CT,Western Connecticut Planning Region,NEW CANAAN CARES INC,0.59357
791.681,CT,Capitol Planning Region,SAN JUAN CENTER ELDERLY HOUSING INC,0.791681
1156.89,CT,Western Connecticut Planning Region,A BETTER CHANCE IN RIDGEFIELD INC,1.15689
1419.019,CT,Southeastern Connecticut Planning Region,AHEPA 110 INC,1.419019
675.426,CT,Lower Connecticut River Valley Planning Region,OLD SAYBROOK ROTARY FOUNDATION INC,0.675426
6241.05,CT,Capitol Planning Region,THEATERWORKS INC,6.24105
862.114,CT,Western Connecticut Planning Region,NORTH WALKE HOUSING CORPORATION,0.862114
132.567,CT,South Central Connecticut Planning Region,CHILDREN IN PLACEMENT CONNECTICUT INC,0.132567
2220.053,CT,Capitol Planning Region,CONNECTICUT COUNCIL OF FAMILY SERVICE AGENCIES INC,2.220053
468.231,CT,Western Connecticut Planning Region,STONY HILL VOLUNTEER FIRE CO INC,0.468231
2434.489,CT,Western Connecticut Planning Region,FRIENDS OF LAUREL HOUSE INC,2.434489
401.922,CT,Western Connecticut Planning Region,PARENTS AND FRIENDS OF THE LOWER FAIRFIELD COUNTY REGIONAL CENTER I,0.401922
6.617,VA,Chesterfield County,NUTRITIONAL INITIATIVE FOR AFRICA NIFA INC,0.006617
513.072,CT,South Central Connecticut Planning Region,AMITY TEEN CENTER INC,0.513072
1115.324,NY,Westchester County,ACADEMY FOR JEWISH RELIGION,1.115324
492.949,CT,Naugatuck Valley Planning Region,SELF INC,0.492949
11000.692,CT,Lower Connecticut River Valley Planning Region,CONNECTICUT CANCER FOUNDATION INC,11.000692
2061.924,CT,Northeastern Connecticut Planning Region,THOMPSON ECUMENICAL EMPOWERMENT GROUP INC,2.061924
185.602,CT,Capitol Planning Region,AVON HIGH SCHOOL BOOSTER CLUB INC,0.185602
1922.229,CT,Southeastern Connecticut Planning Region,ALLIANCE FOR LIVING INC,1.922229
679.933,CT,South Central Connecticut Planning Region,TOMMY FUND INC,0.679933
1796.601,CT,Western Connecticut Planning Region,HERITAGE PRESERVATION TRUST OF NEWTOWN INC,1.796601
1026.584,CT,Lower Connecticut River Valley Planning Region,DEEP RIVER AMBULANCE ASSOCIATION INC,1.026584
251.888,MN,Benton County,SAUK RAPIDS YOUTH HOCKEY INC,0.251888
698.732,CT,Capitol Planning Region,FRIENDS OF VALLEY FALLS INC,0.698732
461.772,CT,Southeastern Connecticut Planning Region,NORTHEAST CONNECTICUT ECONOMIC ALLIANCE INC,0.461772
1051.063,CT,Western Connecticut Planning Region,NOROTON HEIGHTS DEPOT INC,1.051063
615.42,CT,Western Connecticut Planning Region,MERRYHILL CHILD CARE CENTER INC,0.61542
12.399,CT,Naugatuck Valley Planning Region,FRIENDS OF THE WATERTOWN LIBRARY ASSOCIATION INC,0.012399
50956.58,CT,Western Connecticut Planning Region,HOUSING DEVELOPMENT FUND INC,50.95658
65.746,CT,Western Connecticut Planning Region,PARENT CHILD CENTER INC,0.065746
256.964,FL,Miami-Dade County,NESHAMA ASSOCIATION OF JEWISH CHAPLAINS INC,0.256964
6.482,NY,Rockland County,PTA NEW YORK CONGRESS,0.006482
0,CT,Capitol Planning Region,CIL HOUSING INCORPORATED,0
41.629,NY,Putnam County,KENT COMPLEX PARENT TEACHER ORGANIZATION,0.041629
1108.72,CT,Southeastern Connecticut Planning Region,FELLOWSHIP HOUSE MINISTRIES INC,1.10872
191.844,NY,Westchester County,NATIONAL SCHOLASTIC CHESS FOUNDATION INC,0.191844
661.898,CT,Naugatuck Valley Planning Region,SEVEN ANGELS THEATRE INC,0.661898
251.433,CT,South Central Connecticut Planning Region,CONNECTICUT STATE POLICE ACADEMY EDUCATIONAL FOUNDATION INC,0.251433
64.479,CT,South Central Connecticut Planning Region,PARTNERSHIP CENTER FOR ADULT DAY CARE INC,0.064479
183.214,CT,Western Connecticut Planning Region,NEWTOWN SOCCER CLUB LTD,0.183214
443.018,CT,Capitol Planning Region,CHARTER OAK AMATEUR BOXING ACADEMY,0.443018
1206.974,CT,Capitol Planning Region,WINDSOR LOCKS LIONS CHARITIES INC,1.206974
1259.29,CT,Capitol Planning Region,CONNECTICUT AFTER SCHOOL NETWORK INC,1.25929
203.827,CT,South Central Connecticut Planning Region,URBAN COMMUNITY ALLIANCE INC,0.203827
1154.213,CT,Southeastern Connecticut Planning Region,COLCHESTER ALTERNATIVE SCHOOL-AGE TOTAL LEARNING EXPERIENCE INC,1.154213
857.663,CT,Greater Bridgeport Planning Region,GREATER CONNECTICUT YOUTH ORCHESTRAS INC,0.857663
2153.05,CT,South Central Connecticut Planning Region,WALLINGFORD HISTORIC PRESERVATION TRUST INC,2.15305
449.731,CT,Capitol Planning Region,JEWISH TEEN LEARNING CONNECTION,0.449731
3122.597,CT,South Central Connecticut Planning Region,THE TOWERS FOUNDATION INC,3.122597
452.969,PA,Bradford County,HABITAT FOR HUMANITY INTERNATIONAL INC,0.452969
77.248,CT,Capitol Planning Region,UCONN CLUB INC,0.077248
86.492,CT,Western Connecticut Planning Region,CHILDRENS CENTER OF COS COB INC,0.086492
81.393,CT,Capitol Planning Region,MORLEY EXTENDED DAYCARE INC,0.081393
243.045,CT,Naugatuck Valley Planning Region,LITTLE BRITCHES THERAPEUTIC RIDING INC,0.243045
669.922,CT,Capitol Planning Region,CONNECTICUT FORUM INC,0.669922
685.9,CT,Southeastern Connecticut Planning Region,EASTERN CONNECTICUT TRANSPORTATION CONSORTIUM INC,0.6859
681.568,CT,Capitol Planning Region,CIL HOUSING INCORPORATED,0.681568
1918.598,MI,Wayne County,REVISIONS CONSULTING GROUP INC,1.918598
896.708,NY,Orange County,GOSHEN ROTARY SCHOLARSHIP FOUNDATION INC,0.896708
22.266,CT,Capitol Planning Region,GREATER HARTFORD FESTIVAL OF JAZZ,0.022266
673.617,CT,Western Connecticut Planning Region,GERMAN SCHOOL OF CONNECTICUT INC,0.673617
825.987,CT,Capitol Planning Region,CENTER FOR FINANCIAL TRAINING ATLANTIC & CENTRAL STATES,0.825987
119.588,CT,Capitol Planning Region,EARLY LEARNING PROGRAM INC,0.119588
54.04,CT,Lower Connecticut River Valley Planning Region,CENTRAL REGIONAL TOURISM DISTRICT INC,0.05404
9.635,CT,Naugatuck Valley Planning Region,BRASS CENTER LTD,0.009635
987.917,CT,South Central Connecticut Planning Region,STUDENT PARENTING AND FAMILY SERVICES INC,0.987917
385.765,CT,Southeastern Connecticut Planning Region,NEW LONDON ROTARY FOUNDATION INC,0.385765
323.097,CT,Western Connecticut Planning Region,NEW FAIRFIELD COMMUNITY TRIFT SHOP INC,0.323097
1249.066,NY,Orange County,GREENWOOD LAKE PUBLIC LIBRARY,1.249066
122.136,CT,Lower Connecticut River Valley Planning Region,DURHAM-MIDDLEFIELD YOUTH & FAMILY SERVICES INC,0.122136
400.074,CT,Lower Connecticut River Valley Planning Region,EAST HADDAM YOUTH AND FAMILY SERVICES INC,0.400074
970.362,CT,South Central Connecticut Planning Region,KNIGHTS TRUST INC,0.970362
1098.476,CT,Northeastern Connecticut Planning Region,THE LAST GREEN VALLEY INC,1.098476
47126.609,CT,Capitol Planning Region,NEW BRITAIN MUSEUM OF AMERICAN ART INC,47.126609
298.636,CT,Greater Bridgeport Planning Region,FAIRFIELD COUNTY CHILDRENS CHOIR INC,0.298636
1405.471,CT,Capitol Planning Region,ZEZZO HOUSE CORPORATION,1.405471
250.369,CT,Western Connecticut Planning Region,NJSA INC,0.250369
937.312,CT,Lower Connecticut River Valley Planning Region,ESSEX ELEMENTARY SCHOOL FOUNDATION INC,0.937312
2267.564,CT,Western Connecticut Planning Region,BREAST CANCER ALLIANCE INC,2.267564
624.89,CT,Greater Bridgeport Planning Region,CAROLINE HOUSE INC,0.62489
192.576,CT,Capitol Planning Region,CIL HOUSING INC,0.192576
652.729,CT,Western Connecticut Planning Region,STAMFORD SENIOR CENTER INC,0.652729
1095.142,NY,Orange County,CHILDRENS RIGHTS SOCIETY INC,1.095142
470.675,CT,Capitol Planning Region,CENTER OF SPECIAL CARE INC,0.470675
676.219,CT,Capitol Planning Region,HSC COMMUNITY SERVICES INC,0.676219
159.57,CT,Capitol Planning Region,COLT TRUST INC,0.15957
2125.127,CT,South Central Connecticut Planning Region,COMMUNICARE INC,2.125127
130.328,CT,Southeastern Connecticut Planning Region,CONNECTICUT STORYTELLING CENTER INC,0.130328
5231.302,CT,Western Connecticut Planning Region,GREENWICH SCHOLARSHIP ASSOCIATION INC,5.231302
6280.539,MI,Macomb County,EVERETT NON-PROFIT HOUSING CORPORATION,6.280539
951.426,RI,Providence County,FACTS-SUNRISE INC,0.951426
830.319,RI,Newport County,V N HOUSING CORP,0.830319
2577.731,CT,Greater Bridgeport Planning Region,KLEIN MEMORIAL AUDITORIUM FOUNDATION INC,2.577731
2333.752,CT,South Central Connecticut Planning Region,BNAI BRITH HOUSING OF NEW HAVEN INC,2.333752
140.975,CT,Southeastern Connecticut Planning Region,FHM SERVICES INC,0.140975
180.359,CT,Naugatuck Valley Planning Region,KANGAROOS KORNER INC,0.180359
879.511,CT,Greater Bridgeport Planning Region,CONNECTICUT CURLERS INC,0.879511
557.105,CT,Western Connecticut Planning Region,FRIENDS OF NEW MILFORD INC,0.557105
2693.544,CT,Capitol Planning Region,CENTER FOR CHILDRENS ADVOCACY INC,2.693544
135.491,CT,Greater Bridgeport Planning Region,GREATER BRIDGEPORT OPPORTUNITIES INDUSTRIALIZATION CENTER INC,0.135491
12347.688,CT,South Central Connecticut Planning Region,CEO FOUNDATION OF CONNECTICUT,12.347688
1778.53,CT,Capitol Planning Region,CONNECTICUT PUBLIC AFFAIRS NETWORK INC,1.77853
40394.372,MA,Suffolk County,BOSTON COLLEGIATE CHARTER SCHOOL FOUNDATION INC,40.394372
1345.253,CT,Southeastern Connecticut Planning Region,RAYMOND LIBRARY CO,1.345253
1269.705,CT,Southeastern Connecticut Planning Region,GERARD AND WANDA BRUNET FOUNDATION,1.269705
117.674,CT,Naugatuck Valley Planning Region,SKYE CABLE XIII INC,0.117674
84.201,CT,Western Connecticut Planning Region,BALLET SCHOOL OF STAMFORD,0.084201
547.845,NM,Bernalillo County,CLOTHES HELPING KIDS INC,0.547845
1506.166,CT,Capitol Planning Region,LEAS FOUNDATION FOR LEUKEMIA RESEARCH INC,1.506166
187.799,CT,Northeastern Connecticut Planning Region,THE ASHFORD VOLUNTEER FIRE DEPARTMENT INCORPORATED,0.187799
191.004,NY,Onondaga County,CELL STRESS SOCIETY INTERNATIONAL INC,0.191004
171.091,MN,Hennepin County,HATS AND MITTENS ASSOCIATION,0.171091
2381.796,CT,Capitol Planning Region,ADVOCATE COMMUNITY CARE AGENCY INC,2.381796
14439.662,CT,Capitol Planning Region,HOSPITAL FOR SPECIAL CARE FOUNDATION INC,14.439662
1838.556,CT,South Central Connecticut Planning Region,THE CLAIRE C ENNITT WATERSHED FUND INC,1.838556
147.635,CT,Western Connecticut Planning Region,SOUTH SCHOOL PARENT TEACHER COUNCIL,0.147635
88.668,NY,New York County,AMERICAN PHILOPOPHICAL PRACTIONERS ASSOCIATION,0.088668
304.663,CT,Western Connecticut Planning Region,ST ANN SOCIETY OF NORWALK INC,0.304663
1374.218,CT,Southeastern Connecticut Planning Region,ALWAYS HOME INC,1.374218
1374.218,CT,Southeastern Connecticut Planning Region,ALWAYS HOME INC,1.374218
76.614,CT,Southeastern Connecticut Planning Region,FLOCK THEATRE COMPANY,0.076614
67.844,CT,Western Connecticut Planning Region,USAWCT INC,0.067844
438.779,CT,Capitol Planning Region,MANES & MOTIONS THERAPEUTIC RIDING CENTER,0.438779
27.879,CT,Western Connecticut Planning Region,PTO FOR CONSOLIDATED SCHOOL,0.027879
253.178,CT,South Central Connecticut Planning Region,WEST HAVEN ROTARY CLUB FOUNDATION INC,0.253178
1747.209,CT,South Central Connecticut Planning Region,READ TO GROW INC,1.747209
2014.458,VA,Alexandria city,VOLUNTEERS OF AMERICA INC,2.014458
839.471,NY,Putnam County,THE PUTNAM COMMUNITY FOUNDATION INC,0.839471
90.821,NY,Kings County,DANCING CRANE INC,0.090821
51.894,CT,Southeastern Connecticut Planning Region,COLCHESTER LIONS CHARITIES INC,0.051894
235.208,CT,Capitol Planning Region,CT BAR INSTITUTE INC,0.235208
16.947,CT,South Central Connecticut Planning Region,HIGHLAND YALESVILLE ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,0.016947
252.94,CT,Capitol Planning Region,ENFIELD HOCKEY ASSOCIATION,0.25294
0,CA,Los Angeles County,OUTREACH TECHNOLOGY INC,0
